AccessTime,LOName,studentID
2017-01-25T22:24:17.609200+00:00,How To Adapt To Different Screens?,student073@smartlearning.edu
2017-01-25T22:24:03.038100+00:00,How To Keep Screens In Sync? Demo,student073@smartlearning.edu
2017-01-25T22:22:24.879200+00:00,How To Keep Screens In Sync?,student073@smartlearning.edu
2017-01-25T22:22:16.755900+00:00,How To Use Screens? III,student073@smartlearning.edu
2017-01-25T22:21:03.979500+00:00,How To Use Screens? II,student073@smartlearning.edu
2017-01-25T22:18:05.765400+00:00,How To Use Screens?,student073@smartlearning.edu
2017-01-25T22:18:03.376800+00:00,YouTube Pairing Demo,student073@smartlearning.edu
2017-01-25T22:16:34.309900+00:00,How To Pair Screens?,student073@smartlearning.edu
2017-01-25T22:16:27.875600+00:00,Demo,student073@smartlearning.edu
2017-01-25T22:15:04.348800+00:00,How To Find Screens?,student073@smartlearning.edu
2017-01-25T22:14:53.073100+00:00,Common Challenges,student073@smartlearning.edu
2017-01-25T22:14:39.869800+00:00,Typical Functional Blocks,student073@smartlearning.edu
2017-01-25T22:14:32.918400+00:00,"What We Need to Do ""multiscreening""",student073@smartlearning.edu
2017-01-25T22:14:32.263900+00:00,Classification of Multiscreen Use Cases III,student073@smartlearning.edu
2017-01-25T22:14:30.821700+00:00,"What We Need to Do ""multiscreening""",student073@smartlearning.edu
2017-01-25T22:13:08.783700+00:00,Classification of Multiscreen Use Cases II,student073@smartlearning.edu
2017-01-25T22:13:11.107200+00:00,Classification of Multiscreen Use Cases III,student073@smartlearning.edu
2017-01-25T22:13:07.947600+00:00,Classification of Multiscreen Use Cases III,student073@smartlearning.edu
2017-01-25T22:06:14.837200+00:00,Classification of Multiscreen Use Cases II,student073@smartlearning.edu
2017-01-25T22:06:13.292400+00:00,Classification of Multiscreen Use Cases,student073@smartlearning.edu
2017-01-25T22:06:02.776000+00:00,"Use+Cases,+Features+and+Challenges",student073@smartlearning.edu
2017-01-25T22:05:44.070800+00:00,Multiscreen PDF Download,student073@smartlearning.edu
2017-01-25T22:05:28.231000+00:00,Ford Applink,student073@smartlearning.edu
2017-01-25T22:05:17.646500+00:00,Toyota Entune,student073@smartlearning.edu
2017-01-25T22:05:05.799500+00:00,Apple CarPlay II,student073@smartlearning.edu
2017-01-25T22:04:59.393800+00:00,Apple CarPlay,student073@smartlearning.edu
2017-01-25T22:04:57.219200+00:00,In-Vehicle Infotainment,student073@smartlearning.edu
2017-01-25T22:04:36.438800+00:00,In+Vehicle+Infotainment,student073@smartlearning.edu
2017-01-25T22:02:00.128100+00:00,Multiscreen PDF Download,student073@smartlearning.edu
2017-01-25T22:01:22.436100+00:00,Microsoft Hololens,student073@smartlearning.edu
2017-01-25T22:00:30.706500+00:00,Sony SmartEyeGlass / SmartEyeGlass Attach,student073@smartlearning.edu
2017-01-25T22:00:27.356400+00:00,Blurry Picture,student073@smartlearning.edu
2017-01-25T21:59:10.311200+00:00,Wearables Example,student073@smartlearning.edu
2017-01-25T21:58:32.574300+00:00,What Can I Do With A Smart Watch?,student073@smartlearning.edu
2017-01-25T21:58:31.973600+00:00,Samsung Wearable Tech,student073@smartlearning.edu
2017-01-25T21:58:30.837600+00:00,What Can I Do With A Smart Watch?,student073@smartlearning.edu
2017-01-25T21:58:03.835300+00:00,Samsung Wearable Tech,student073@smartlearning.edu
2017-01-25T21:57:19.126700+00:00,LG Wearables,student073@smartlearning.edu
2017-01-25T21:57:08.996400+00:00,Android Wear II,student073@smartlearning.edu
2017-01-25T21:56:52.906500+00:00,Android Wear,student073@smartlearning.edu
2017-01-25T21:56:19.031000+00:00,Apple Watch,student073@smartlearning.edu
2017-01-25T21:56:14.971300+00:00,Wearable Technologies,student073@smartlearning.edu
2017-01-25T21:56:08.820900+00:00,Wearable+Technologies,student073@smartlearning.edu
2017-01-25T21:55:51.819800+00:00,Multiscreen PDF Download,student073@smartlearning.edu
2017-01-25T21:54:52.913900+00:00,Chopper 2,student073@smartlearning.edu
2017-01-25T21:54:25.190500+00:00,Padracer,student073@smartlearning.edu
2017-01-25T21:54:22.824100+00:00,Companion Devices,student073@smartlearning.edu
2017-01-25T21:54:14.500500+00:00,Companion+Devices,student073@smartlearning.edu
2017-01-25T21:53:52.382100+00:00,Multiscreen PDF Download,student073@smartlearning.edu
2017-01-25T21:52:16.965900+00:00,Adobe Nav For Photoshop,student073@smartlearning.edu
2017-01-25T21:51:50.806800+00:00,AirServer,student073@smartlearning.edu
2017-01-25T21:51:27.487200+00:00,Air Display,student073@smartlearning.edu
2017-01-25T21:50:19.047400+00:00,Kodi Media Center (Formally XBMC Media Center),student073@smartlearning.edu
2017-01-25T21:50:15.368400+00:00,PC and Companion Devices,student073@smartlearning.edu
2017-01-25T21:49:56.973600+00:00,PC+and+Companion+Devices,student073@smartlearning.edu
2017-01-25T21:15:55.698200+00:00,Streaming+Devices,student073@smartlearning.edu
2017-01-25T21:14:33.255600+00:00,Übungsaufgaben zu Streaming Devices,student073@smartlearning.edu
2017-01-25T21:13:52.454300+00:00,XBOX Smartglas,student073@smartlearning.edu
2017-01-25T21:12:36.814100+00:00,Android HDMI Dongles - E.G. Dell Wyse,student073@smartlearning.edu
2017-01-25T21:12:18.664000+00:00,Universal HDMI Dongles - E.G. ezCast WIFI Display,student073@smartlearning.edu
2017-01-25T21:12:17.279000+00:00,Miracast Dongles,student073@smartlearning.edu
2017-01-25T21:12:09.192500+00:00,Universal HDMI Dongles - E.G. ezCast WIFI Display,student073@smartlearning.edu
2017-01-25T21:11:54.413900+00:00,Miracast Dongles,student073@smartlearning.edu
2017-01-25T21:11:27.072800+00:00,Matchstick,student073@smartlearning.edu
2017-01-25T21:10:21.886700+00:00,Android TV,student073@smartlearning.edu
2017-01-25T21:09:38.547000+00:00,Roku,student073@smartlearning.edu
2017-01-25T21:09:30.409900+00:00,Popular Chromecast Apps,student073@smartlearning.edu
2017-01-25T21:09:10.074400+00:00,Google Chromecast,student073@smartlearning.edu
2017-01-25T21:08:54.789000+00:00,Popular Apple TV Apps,student073@smartlearning.edu
2017-01-25T21:08:11.870900+00:00,Apple TV,student073@smartlearning.edu
2017-01-25T21:08:09.842700+00:00,Streaming Devices,student073@smartlearning.edu
2017-01-25T21:08:02.163000+00:00,Streaming+Devices,student073@smartlearning.edu
2017-01-25T20:35:49.940700+00:00,Discovery+Protocols,student094@smartlearning.edu
2017-01-25T20:35:29.313500+00:00,Web+Standards+am+Beispiel+des+W3C,student094@smartlearning.edu
2017-01-25T20:35:09.904400+00:00,Übungsaufgabe zu Motivation,student094@smartlearning.edu
2017-01-25T20:35:07.912300+00:00,Motivation,student094@smartlearning.edu
2017-01-25T20:34:09.667900+00:00,Übungsaufgaben zu HTTP Adaptive Streaming MPEG DASH,student094@smartlearning.edu
2017-01-25T20:34:06.506100+00:00,HTTP+Adaptive+Streaming+and+MPEG+DASH,student094@smartlearning.edu
2017-01-25T20:20:17.306600+00:00,HTML,student079@smartlearning.edu
2017-01-25T19:25:01.826600+00:00,Web of Things: PDF Download,student059@smartlearning.edu
2017-01-25T19:24:57.658100+00:00,From+Internet+of+Things+to+Web+of+Things,student059@smartlearning.edu
2017-01-25T17:20:33.231700+00:00,Web+Standards+am+Beispiel+des+W3C,student013@smartlearning.edu
2017-01-25T17:20:26.101700+00:00,Über+Fraunhofer,student013@smartlearning.edu
2017-01-25T16:46:02.880700+00:00,Motivation,student017@smartlearning.edu
2017-01-25T16:45:57.052300+00:00,Motivation,student017@smartlearning.edu
2017-01-25T16:42:47.372700+00:00,HTTP,student017@smartlearning.edu
2017-01-25T16:41:34.224700+00:00,Download TV Apps PDF,student017@smartlearning.edu
2017-01-25T16:41:01.097900+00:00,Fragen zu HbbTV,student017@smartlearning.edu
2017-01-25T16:40:52.863400+00:00,HbbTV - Standard,student017@smartlearning.edu
2017-01-25T16:40:48.139400+00:00,Hybrid Broadcast Broadband Television,student017@smartlearning.edu
2017-01-25T16:40:46.788200+00:00,HbbTV - Basics,student017@smartlearning.edu
2017-01-25T16:40:42.203000+00:00,HbbTV App services example 1,student017@smartlearning.edu
2017-01-25T16:40:40.122900+00:00,HbbTV App services,student017@smartlearning.edu
2017-01-25T16:40:37.857800+00:00,HbbTV devices available in Germany,student017@smartlearning.edu
2017-01-25T16:40:32.971400+00:00,HbbTV 2.0 Specification,student017@smartlearning.edu
2017-01-25T16:40:32.223600+00:00,HbbTV - Hybrid App delivery,student017@smartlearning.edu
2017-01-25T16:40:31.103900+00:00,HbbTV - Broadcast-independent App delivery,student017@smartlearning.edu
2017-01-25T16:40:29.246500+00:00,HbbTV - Broadcast-related App delivery,student017@smartlearning.edu
2017-01-25T16:40:25.884900+00:00,HbbTV - Standard,student017@smartlearning.edu
2017-01-25T16:40:24.027100+00:00,Hybrid Broadcast Broadband Television,student017@smartlearning.edu
2017-01-25T16:40:23.107600+00:00,HbbTV - Standard,student017@smartlearning.edu
2017-01-25T16:40:20.996000+00:00,Hybrid Broadcast Broadband Television,student017@smartlearning.edu
2017-01-25T16:40:13.417800+00:00,HbbTV - Basics,student017@smartlearning.edu
2017-01-25T16:39:59.872300+00:00,HbbTV+-+Basics,student017@smartlearning.edu
2017-01-25T16:39:14.575600+00:00,Übungsaufgaben zu Filtering Approaches,student017@smartlearning.edu
2017-01-25T16:39:09.761300+00:00,Filtering+Approaches,student017@smartlearning.edu
2017-01-25T16:36:07.653400+00:00,Web application development basics: HTML,student017@smartlearning.edu
2017-01-25T16:35:25.585200+00:00,Übungsfragen zu HTML,student017@smartlearning.edu
2017-01-25T16:35:09.531200+00:00,HTML,student017@smartlearning.edu
2017-01-25T07:57:25.552800+00:00,Multiscreen PDF Download,student001@smartlearning.edu
2017-01-25T07:57:20.851800+00:00,Terminology,student001@smartlearning.edu
2017-01-25T07:57:04.825400+00:00,Recommendation - Define all platforms first,student001@smartlearning.edu
2017-01-25T07:57:03.883400+00:00,Recommendation - Check resolution and safe-areas,student001@smartlearning.edu
2017-01-25T07:57:03.414600+00:00,Fragen zu TV Development Recommendations,student001@smartlearning.edu
2017-01-25T07:55:38.240300+00:00,Download TV Apps PDF,student001@smartlearning.edu
2017-01-25T07:54:35.592900+00:00,Fragen zu TV Development Recommendations,student001@smartlearning.edu
2017-01-25T07:54:28.382300+00:00,Recommendation - Check resolution and safe-areas,student001@smartlearning.edu
2017-01-25T07:54:19.962400+00:00,Recommendation - Define all platforms first,student001@smartlearning.edu
2017-01-25T07:54:15.216700+00:00,TV+Development+Recommendations,student001@smartlearning.edu
2017-01-25T07:37:12.448000+00:00,Current TV Trends,student001@smartlearning.edu
2017-01-25T07:37:10.261900+00:00,Current+TV+Trends,student001@smartlearning.edu
2017-01-25T07:36:49.579000+00:00,Current+TV+Trends,student001@smartlearning.edu
2017-01-24T22:08:12.236000+00:00,Libraries+and+Frameworks,student013@smartlearning.edu
2017-01-24T22:05:00.539300+00:00,Übungsaufgaben zu Legal and Ethical Issues,student013@smartlearning.edu
2017-01-24T22:04:58.800900+00:00,Legal+and+Ethical+Issues,student013@smartlearning.edu
2017-01-24T22:04:21.115600+00:00,Technical+Issues+in+Recommendation+Engines,student013@smartlearning.edu
2017-01-24T22:04:05.472900+00:00,Übungsaufgaben zu Context and Semantic,student013@smartlearning.edu
2017-01-24T22:04:02.591900+00:00,Context+and+Semantic,student013@smartlearning.edu
2017-01-24T22:03:50.253900+00:00,Übungsaufgaben zu Machine Learning,student013@smartlearning.edu
2017-01-24T22:03:48.373000+00:00,Machine+Learning,student013@smartlearning.edu
2017-01-24T22:03:23.787200+00:00,Übungsaufgaben zu Filtering Approaches,student013@smartlearning.edu
2017-01-24T22:03:21.594100+00:00,Filtering+Approaches,student013@smartlearning.edu
2017-01-24T22:03:10.714500+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T22:03:09.414400+00:00,Recommendation+Engine+-+Concepts,student013@smartlearning.edu
2017-01-24T22:03:06.124300+00:00,Filtering+Approaches,student013@smartlearning.edu
2017-01-24T22:02:52.344600+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T22:02:50.510000+00:00,Recommendation+Engine+-+Concepts,student013@smartlearning.edu
2017-01-24T21:51:58.692800+00:00,Technical+Issues+in+Recommendation+Engines,student013@smartlearning.edu
2017-01-24T20:22:49.587200+00:00,Übungsaufgaben zu Context and Semantic,student013@smartlearning.edu
2017-01-24T20:13:44.666100+00:00,Context+and+Semantic,student013@smartlearning.edu
2017-01-24T20:12:22.285300+00:00,Übungsaufgaben zu Machine Learning,student013@smartlearning.edu
2017-01-24T20:12:17.678000+00:00,Machine+Learning,student013@smartlearning.edu
2017-01-24T20:04:21.393400+00:00,Demos,student013@smartlearning.edu
2017-01-24T20:00:23.993500+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T20:00:21.334200+00:00,Recommendation+Engine+-+Concepts,student013@smartlearning.edu
2017-01-24T19:59:58.271400+00:00,Predictive+Data+Mining+and+Recommendation+Engines,student013@smartlearning.edu
2017-01-24T19:52:49.308600+00:00,Übungsaufgaben zu Filtering Approaches,student013@smartlearning.edu
2017-01-24T19:52:38.514700+00:00,Hybrid Filtering,student013@smartlearning.edu
2017-01-24T19:52:30.512900+00:00,Filtering+Approaches,student013@smartlearning.edu
2017-01-24T19:52:19.833100+00:00,Predictive+Data+Mining+and+Recommendation+Engines,student013@smartlearning.edu
2017-01-24T19:34:20.907600+00:00,Übungsaufgaben zu DNS,student013@smartlearning.edu
2017-01-24T19:34:18.538200+00:00,DNS,student013@smartlearning.edu
2017-01-24T19:33:52.692500+00:00,Recommender Slides,student013@smartlearning.edu
2017-01-24T19:33:45.924800+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T19:33:39.175800+00:00,Recommendation Engines,student013@smartlearning.edu
2017-01-24T19:33:35.091200+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T19:33:29.978900+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T19:32:46.946600+00:00,Übungsaufgaben zu Recommendation Engine - Concepts,student013@smartlearning.edu
2017-01-24T19:32:41.746900+00:00,Recommendation+Engine+-+Concepts,student013@smartlearning.edu
2017-01-24T15:38:56.769700+00:00,HbbTV 2.0 CS: Application to Application Communication,student095@smartlearning.edu
2017-01-24T15:38:50.955300+00:00,Websocket,student095@smartlearning.edu
2017-01-24T15:38:47.823000+00:00,HbbTV 2.0 CS: Application to Application Communication,student095@smartlearning.edu
2017-01-24T15:38:19.192500+00:00,Websocket,student095@smartlearning.edu
2017-01-24T15:36:55.347300+00:00,WebRTC,student095@smartlearning.edu
2017-01-24T15:33:24.999400+00:00,W3C Second Screen Presentation API,student095@smartlearning.edu
2017-01-24T15:31:34.293900+00:00,Physical Web 2,student095@smartlearning.edu
2017-01-24T15:29:23.630600+00:00,Physical Web,student095@smartlearning.edu
2017-01-24T15:29:17.945800+00:00,Physical Web 2,student095@smartlearning.edu
2017-01-24T15:28:55.898000+00:00,Physical Web,student095@smartlearning.edu
2017-01-24T15:24:10.626200+00:00,Discovery and Launch Protocol DIAL,student095@smartlearning.edu
2017-01-24T15:18:24.668800+00:00,Airplay,student095@smartlearning.edu
2017-01-24T15:14:35.935800+00:00,Universal Plug and Play Protocol UPNP,student095@smartlearning.edu
2017-01-24T15:08:31.315900+00:00,Simple Service Discovery Protocol SSDP,student095@smartlearning.edu
2017-01-24T14:58:14.217200+00:00,How to pair Screens?,student095@smartlearning.edu
2017-01-24T14:58:09.649600+00:00,Apple TV,student095@smartlearning.edu
2017-01-24T14:58:06.520700+00:00,How to pair Screens?,student095@smartlearning.edu
2017-01-24T14:57:54.718400+00:00,Apple TV,student095@smartlearning.edu
2017-01-24T14:57:35.818300+00:00,HbbTV ARD.Connect,student095@smartlearning.edu
2017-01-24T14:54:18.562300+00:00,RESTful Resources,student097@smartlearning.edu
2017-01-24T14:54:09.445000+00:00,Web+of+Things,student097@smartlearning.edu
2017-01-24T14:53:07.880200+00:00,ARD.connect,student095@smartlearning.edu
2017-01-24T14:53:04.022100+00:00,Multiscreen,student095@smartlearning.edu
2017-01-24T14:53:02.641500+00:00,Multiscreen,student095@smartlearning.edu
2017-01-24T14:47:20.908500+00:00,HbbTV 2.0 CS: Application to Application Communication,student097@smartlearning.edu
2017-01-24T14:47:05.172700+00:00,W3C Second Screen Presentation API,student097@smartlearning.edu
2017-01-24T14:47:03.732300+00:00,WebRTC,student097@smartlearning.edu
2017-01-24T14:41:11.460400+00:00,W3C Second Screen Presentation API,student097@smartlearning.edu
2017-01-24T14:39:28.057300+00:00,Discovery and Launch Protocol DIAL,student097@smartlearning.edu
2017-01-24T14:33:02.088400+00:00,Universal Plug and Play Protocol UPNP,student097@smartlearning.edu
2017-01-24T14:28:49.677600+00:00,Simple Service Discovery Protocol SSDP,student097@smartlearning.edu
2017-01-24T14:23:52.600800+00:00,How to pair Screens?,student097@smartlearning.edu
2017-01-24T14:23:43.909200+00:00,Multiscreen,student097@smartlearning.edu
2017-01-24T14:08:23.692900+00:00,Web+Security,student020@smartlearning.edu
2017-01-24T14:08:17.265800+00:00,Multiscreen,student020@smartlearning.edu
2017-01-24T14:08:09.068900+00:00,Web+Basics,student020@smartlearning.edu
2017-01-24T14:07:56.850300+00:00,Security and Privacy: Download PDF,student020@smartlearning.edu
2017-01-24T14:07:55.118700+00:00,JSON+Web+Tokens,student020@smartlearning.edu
